net,length_um
_112_,275.77
_103_,251.98
_104_,244.93
_101_,232.52
_106_,224.2
net19,223.08
net5,217.5
_118_,215.325
_100_,208.26
net18,204.72
_119_,204.36
_153_,201.105
_107_,198.07
_158_,196.84
net10,194.8
net13,178.84
_023_,176.18
_156_,173.87
net7,168.1
net4,167.83
net6,164.58
net11,162.32
net17,160.42
net15,157.55
_151_,152.78
net14,151.02
_002_,149.38
_169_,149.06
net8,148.85
_015_,148.38
net12,146.09
_162_,145.01
_163_,142.96
net9,139.68
_166_,135.66
_111_,135.48
net3,134.58
_098_,134.36
_007_,132.09
_014_,132.08
net16,127.72
_146_,125.57
_165_,125.37
_012_,124.32
_138_,123.5
_105_,122.42
_117_,120.99
_113_,119.92
net23,118.44
_144_,118.27
net2,117.72
_090_,116.16
_141_,115.82
_017_,110.35
_063_,108.86
net20,107.6
_114_,106.61
_011_,105.72
_128_,104.67
_003_,103.49
_008_,103.3
_167_,102.27
_025_,101.93
_134_,100.21
_068_,99.78
_099_,99.56
_041_,98.48
_028_,98.15
_037_,98
_092_,97.21
_005_,96.32
_135_,96.2
_143_,96.12
_139_,95.62
_150_,95.55
_148_,95.06
_164_,94.105
_024_,93.88
_094_,93.12
_129_,93.04
net26,91.98
_046_,91.6
_018_,90.44
_052_,90.34
_035_,90.28
_026_,88.07
_033_,87.88
_027_,87.86
_049_,87.26
_019_,87.18
_038_,86.96
_108_,86.3
_149_,85.9
_142_,85.36
_122_,84.52
_000_,83.92
_140_,83.76
_070_,83.6
_137_,83.5
_120_,82.78
_036_,81.84
_048_,79.93
_030_,79.12
_042_,78.97
_020_,78.88
_097_,78.4
_115_,77.94
_075_,74.64
_039_,74.46
_110_,73.34
_102_,72.96
_050_,72.92
_159_,72.74
_054_,72.62
_043_,72.36
_001_,71.84
_130_,71.65
_045_,71.52
_057_,71.18
_074_,71.18
_133_,70.7
_004_,70.325
_047_,69.72
_126_,68.64
_109_,68.48
_096_,67.96
_160_,67.6
net22,67.6
_058_,65.38
_131_,65.22
_044_,64.36
_168_,63.98
net1,63.88
_145_,63.16
_121_,62.035
_132_,61.74
_125_,61.4
_013_,60.3
_155_,60.14
_072_,59.92
_127_,59.64
_079_,56.72
_081_,56.65
_051_,56.52
_116_,54.85
_059_,54.82
_032_,54.66
_009_,54.28
_069_,53.98
_086_,53.72
_085_,53.48
_062_,53.18
_065_,51.6
_034_,51.44
_040_,51.18
_022_,49.5
net25,49.08
_067_,48.18
_124_,47.96
_061_,46.78
_064_,46.68
_123_,41.92
_021_,41.06
_095_,40.96
net21,40.74
_029_,40.36
_161_,39.02
_076_,38.48
_016_,38.42
net30,36.35
_056_,35.84
_073_,35.74
_053_,33.86
net29,33.22
_088_,30.38
_157_,29.9
_080_,26.76
_031_,26.32
net24,26.04
_147_,24.12
_006_,23.98
_066_,23.88
_154_,22.74
_083_,22.5
_077_,22.24
_082_,18.98
net27,18.36
_084_,17.18
_136_,17.14
OUT[0],16.49
_010_,16.1
_071_,14.32
_089_,13.58
_093_,13.54
_152_,10.12
OUT[7],9.39
_091_,9.02
OUT[5],8.93
OPCODE[0],8.84
OPCODE[1],8.84
OPCODE[2],8.72
_055_,8.06
B[0],8.01
A[7],7.33
OUT[6],7.15
OUT[1],6.21
B[1],6.09
net28,5.96
A[2],5.84
A[4],5.84
B[6],5.84
B[7],5.84
OUT[4],5.53
A[1],5.41
B[2],5.41
B[3],5.41
B[4],5.41
A[0],5.38
A[3],5.38
A[5],5.38
A[6],5.23
B[5],4.95
OUT[2],4.85
OUT[3],4.85
_060_,3.54
_078_,2.64
_087_,2.5
